Winner,Pts,Loser,Pts
Miami (FL),45,Boston College,20
(10) Missouri,48,Arkansas,14
Ohio,25,Akron,14
(13) Oklahoma,69,Texas Christian,45
(6) Oregon,31,(15) Oregon State,7
(11) Penn State,42,Michigan State,0
(7) Texas,57,Texas Tech,7
(23) Toledo,32,Central Michigan,17
(18) Tulane,29,Texas-San Antonio,16
Utah State,44,New Mexico,41
(8) Alabama,27,Auburn,24
Appalachian State,55,Georgia Southern,27
(16) Arizona,59,Arizona State,23
California,33,UCLA,7
Central Florida,27,Houston,13
Clemson,16,South Carolina,7
Connecticut,31,Massachusetts,18
Duke,30,Pittsburgh,19
(5) Florida State,24,Florida,15
(1) Georgia,31,Georgia Tech,23
Hawaii,27,Colorado State,24
Iowa State,42,(19) Kansas State,35
(24) James Madison,56,Coastal Carolina,14
Kansas,49,Cincinnati,16
Kentucky,38,(9) Louisville,31
(22) Liberty,42,Texas-El Paso,28
Louisiana,52,Louisiana-Monroe,21
(14) Louisiana State,42,Texas A&M,30
Marshall,35,Arkansas State,21
Maryland,42,Rutgers,24
Miami (OH),17,Ball State,15
(3) Michigan,30,(2) Ohio State,24
New Mexico State,20,Jacksonville State,17
North Carolina State,39,North Carolina,20
North Texas,45,Alabama-Birmingham,42
Northern Illinois,37,Kent State,27
Northwestern,45,Illinois,43
(17) Notre Dame,56,Stanford,23
(21) Oklahoma State,40,Brigham Young,34
Old Dominion,25,Georgia State,24
Purdue,35,Indiana,31
Rice,24,Florida Atlantic,21
Sam Houston,23,Middle Tennessee State,20
San Diego State,33,Fresno State,18
San Jose State,37,Nevada-Las Vegas,31
South Florida,48,Charlotte,14
Southern Methodist,59,Navy,14
Syracuse,35,Wake Forest,31
(25) Tennessee,48,Vanderbilt,24
Texas State,52,South Alabama,44
Troy,35,Southern Mississippi,17
Tulsa,29,East Carolina,27
Utah,23,Colorado,17
Virginia Tech,55,Virginia,17
(4) Washington,24,Washington State,21
West Virginia,34,Baylor,31
Western Kentucky,41,Florida International,28
Wisconsin,28,Minnesota,14
Wyoming,42,Nevada,6
(20) Liberty,49,New Mexico State,35
(3) Washington,34,(5) Oregon,31
(8) Alabama,27,(1) Georgia,24
Boise State,44,Nevada-Las Vegas,20
(4) Florida State,16,(15) Louisville,6
Miami (OH),23,(23) Toledo,14
(2) Michigan,26,(18) Iowa,0
(25) Southern Methodist,26,(17) Tulane,14
(7) Texas,49,(19) Oklahoma State,21
Troy,49,Appalachian State,23
Army,17,Navy,11
