Winner,Pts,Loser,Pts
Army,37,Texas-San Antonio,29
Maryland,42,Virginia,14
(10) Alabama,17,South Florida,3
Appalachian State,43,East Carolina,28
Arizona,31,Texas-El Paso,10
Arkansas State,31,Stony Brook,7
Auburn,45,Samford,13
Ball State,45,Indiana State,7
Baylor,30,Long Island,7
Boise State,42,North Dakota,18
Brigham Young,38,Arkansas,31
California,31,Idaho,17
Central Florida,48,Villanova,14
Clemson,48,Florida Atlantic,14
Coastal Carolina,66,Duquesne,7
(18) Colorado,43,Colorado State,35
(21) Duke,38,Northwestern,14
Eastern Michigan,19,Massachusetts,17
Florida,29,(11) Tennessee,16
Florida International,24,Connecticut,17
(3) Florida State,31,Boston College,29
Fresno State,29,Arizona State,0
(1) Georgia,24,South Carolina,14
Georgia State,41,Charlotte,25
(25) Iowa,41,Western Michigan,10
James Madison,16,Troy,14
Kansas,31,Nevada,24
Kent State,38,Central Connecticut State,10
Kentucky,35,Akron,3
Liberty,55,Buffalo,27
Louisiana,41,Alabama-Birmingham,21
(14) Louisiana State,41,Mississippi State,14
Louisville,21,Indiana,14
Miami (OH),31,Cincinnati,24
(2) Michigan,31,Bowling Green,6
Middle Tennessee State,35,Murray State,14
(17) Mississippi,48,Georgia Tech,23
Missouri,30,(15) Kansas State,27
Nebraska,35,Northern Illinois,11
Nevada-Las Vegas,40,Vanderbilt,37
New Mexico State,27,New Mexico,17
(20) North Carolina,31,Minnesota,13
North Carolina State,45,Virginia Military Institute,7
North Texas,40,Louisiana Tech,37
(9) Notre Dame,41,Central Michigan,17
Ohio,10,Iowa State,7
(6) Ohio State,63,Western Kentucky,10
(19) Oklahoma,66,Tulsa,17
(13) Oregon,55,Hawaii,10
(16) Oregon State,26,San Diego State,9
(7) Penn State,30,Illinois,13
Rice,59,Texas Southern,7
Rutgers,35,Virginia Tech,16
Sacramento State,30,Stanford,23
South Alabama,33,Oklahoma State,7
Southern Methodist,69,Prairie View A&M,0
Syracuse,35,Purdue,20
Temple,41,Norfolk State,9
(4) Texas,31,Wyoming,10
Texas A&M,47,Louisiana-Monroe,3
Texas Christian,36,Houston,13
Texas State,77,Jackson State,34
Texas Tech,41,Tarleton State,3
Toledo,21,San Jose State,17
Tulane,21,Southern Mississippi,3
(24) UCLA,59,North Carolina Central,7
(12) Utah,31,Weber State,7
Wake Forest,27,Old Dominion,24
(8) Washington,41,Michigan State,7
(23) Washington State,64,Northern Colorado,21
West Virginia,17,Pittsburgh,6
Wisconsin,35,Georgia Southern,14
Georgia State,30,Coastal Carolina,17
Air Force,45,San Jose State,20
Boise State,34,San Diego State,31
North Carolina State,24,Virginia,21
Wisconsin,38,Purdue,17
(13) Alabama,24,(15) Mississippi,10
